t,src,nbr,cluster,attack_type,attack_active,B,C,S,H,rho,trust_before,action,trust_after,pdr,delay_norm,qos,reward,reward_base,gray_penalty,onoff_penalty,collusion_penalty,pred_malicious,true_malicious,route_score,selected_next_hop
1,4,38,0,none,0,0.9166666865348816,0.8868287205696106,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.159741309731541,0.9520776070805377,0.9440905415939607,0.9440905415939607,0.0,0.0,0.0,0,0,0.5282271642663275,38
1,5,6,0,none,0,0.9166666865348816,0.8926241993904114,1.0,0.0,0.0,0.45,2,0.5,1.0,0.1482672567296802,0.955519822981096,0.948106460144612,0.948106460144612,0.0,0.0,0.0,0,0,0.4794319398315229,18
1,5,9,0,none,0,0.8333333134651184,0.8965548872947693,1.0,0.0416666679084301,0.0,0.55,1,0.55,0.9,0.15581770829337838,0.8832546875119864,0.8454638020973176,0.8454638020973176,0.0,0.0,0.0,0,0,0.4791391424173346,18
1,5,18,0,none,0,0.9166666865348816,0.8868604302406311,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.1841210046730708,0.9447636985980787,0.9355576483644252,0.9355576483644252,0.0,0.0,0.0,0,0,0.5256672962974669,18
1,5,25,0,none,0,0.9166666865348816,0.8573153614997864,1.0,0.0833333358168602,0.0,0.55,0,0.5,1.0,0.14271666195581784,0.9571850014132546,0.9500491683154637,0.9500491683154637,0.0,0.0,0.0,0,0,0.48001475228277835,18
1,6,5,0,none,0,0.9166666865348816,0.8568059802055359,1.0,0.0416666679084301,0.0,0.5,0,0.45,1.0,0.13390184778925815,0.9598294456632225,0.9531343532737596,0.9531343532737596,0.0,0.0,0.0,1,0,0.4559403077702672,18
1,6,11,0,onoff,1,0.3333333432674408,0.7933030724525452,1.0,0.0,0.0,0.45,0,0.4,0.3,0.3296572918724714,0.4111028124382586,0.184619947844635,0.184619947844635,0.0,0.0,0.0,1,1,0.23888598614152987,18
1,6,18,0,none,0,0.9166666865348816,0.8794187307357788,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.16871092014807426,0.9493867239555777,0.9409511779481741,0.9409511779481741,0.0,0.0,0.0,0,0,0.5272853551725915,18
1,6,25,0,none,0,0.8333333134651184,0.9004645347595215,1.0,0.0,0.0,0.55,2,0.6000000000000001,0.9,0.13531900029192556,0.8894042999124223,0.852638349897826,0.852638349897826,0.0,0.0,0.0,0,0,0.5062915067574871,18
1,7,0,0,grayhole,1,0.4166666567325592,0.8249619007110596,1.0,0.0416666679084301,0.0,0.5,2,0.55,0.4,0.2864702266979308,0.4940589319906207,0.2997354206557242,0.2997354206557242,0.0,0.0,0.0,0,1,0.34292062798485656,8
1,7,8,0,none,0,0.9166666865348816,0.9049674272537231,1.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.13747777771386688,0.9587566666858398,0.9518827778001466,0.9518827778001466,0.0,0.0,0.0,0,0,0.5305648351281832,8
1,7,14,0,none,0,0.8333333134651184,0.8854917883872986,1.0,0.0416666679084301,0.0,0.45,2,0.5,0.9,0.23752218493387955,0.8587433445198361,0.8168672352731422,0.8168672352731422,0.0,0.0,0.0,0,0,0.44556017237008194,8
1,7,22,0,onoff,1,0.3333333432674408,0.7944616675376892,1.0,0.0416666679084301,0.0,0.5,2,0.55,0.3,0.3520377842664033,0.404388664720079,0.17678677550675884,0.17678677550675884,0.0,0.0,0.0,0,1,0.311536034440167,8
1,7,39,0,none,0,0.9166666865348816,0.9101601839065552,1.0,0.0,0.0,0.55,0,0.5,1.0,0.1573774392606719,0.9527867682217983,0.9449178962587649,0.9449178962587649,0.0,0.0,0.0,0,0,0.47847537066576873,8
2,0,7,0,none,0,0.9166666865348816,0.8865248560905457,0.0,0.0,0.0,0.6000000000000001,0,0.55,1.0,0.10251266876809878,0.9692461993695702,0.9641205659311655,0.9641205659311655,0.0,0.0,0.0,0,0,0.6142361697793496,35
2,0,22,0,onoff,1,0.4166666567325592,0.8361444473266602,0.0,0.13608276844024658,0.0,0.45,1,0.45,0.4,0.23616014500086105,0.5091519564997417,0.3060860113415261,0.31734394924969866,0.0,0.016082768440246586,0.0,1,1,0.4032031847749096,35
